"Step","rank: 25 - perplexity/train","rank: 25 - perplexity/train__MIN","rank: 25 - perplexity/train__MAX","rank: 20 - perplexity/train","rank: 20 - perplexity/train__MIN","rank: 20 - perplexity/train__MAX","rank: 30 - perplexity/train","rank: 30 - perplexity/train__MIN","rank: 30 - perplexity/train__MAX","rank: 35 - perplexity/train","rank: 35 - perplexity/train__MIN","rank: 35 - perplexity/train__MAX","rank: 17 - perplexity/train","rank: 17 - perplexity/train__MIN","rank: 17 - perplexity/train__MAX","rank: 10 - perplexity/train","rank: 10 - perplexity/train__MIN","rank: 10 - perplexity/train__MAX","rank: 5 - perplexity/train","rank: 5 - perplexity/train__MIN","rank: 5 - perplexity/train__MAX"
"71","58.760005950927734","58.760005950927734","58.760005950927734","72.7611312866211","72.7611312866211","72.7611312866211","47.595821380615234","47.595821380615234","47.595821380615234","39.0792121887207","39.0792121887207","39.0792121887207","83.73988342285156","83.73988342285156","83.73988342285156","120.70384216308594","120.70384216308594","120.70384216308594","177.03208923339844","177.03208923339844","177.03208923339844"
"73","58.200950622558594","58.200950622558594","58.200950622558594","72.2304916381836","72.2304916381836","72.2304916381836","47.192874908447266","47.192874908447266","47.192874908447266","38.71441650390625","38.71441650390625","38.71441650390625","83.50595092773438","83.50595092773438","83.50595092773438","120.21156311035156","120.21156311035156","120.21156311035156","176.7682342529297","176.7682342529297","176.7682342529297"
"75","57.86970138549805","57.86970138549805","57.86970138549805","71.86965942382812","71.86965942382812","71.86965942382812","46.81341552734375","46.81341552734375","46.81341552734375","38.440067291259766","38.440067291259766","38.440067291259766","82.88904571533203","82.88904571533203","82.88904571533203","120.10411071777344","120.10411071777344","120.10411071777344","176.3682861328125","176.3682861328125","176.3682861328125"
"77","57.395748138427734","57.395748138427734","57.395748138427734","71.53333282470703","71.53333282470703","71.53333282470703","46.44373321533203","46.44373321533203","46.44373321533203","38.142879486083984","38.142879486083984","38.142879486083984","82.6375503540039","82.6375503540039","82.6375503540039","119.62176513671875","119.62176513671875","119.62176513671875","176.2465057373047","176.2465057373047","176.2465057373047"
"79","57.05525207519531","57.05525207519531","57.05525207519531","71.10321044921875","71.10321044921875","71.10321044921875","46.12774658203125","46.12774658203125","46.12774658203125","37.84562683105469","37.84562683105469","37.84562683105469","82.1386947631836","82.1386947631836","82.1386947631836","119.13465118408203","119.13465118408203","119.13465118408203","176.01174926757812","176.01174926757812","176.01174926757812"
"81","56.70777130126953","56.70777130126953","56.70777130126953","70.7369384765625","70.7369384765625","70.7369384765625","45.824405670166016","45.824405670166016","45.824405670166016","37.5540885925293","37.5540885925293","37.5540885925293","81.86229705810547","81.86229705810547","81.86229705810547","119.19377136230469","119.19377136230469","119.19377136230469","175.90716552734375","175.90716552734375","175.90716552734375"
"83","56.35051727294922","56.35051727294922","56.35051727294922","70.32804870605469","70.32804870605469","70.32804870605469","45.48284912109375","45.48284912109375","45.48284912109375","37.32329559326172","37.32329559326172","37.32329559326172","81.5779800415039","81.5779800415039","81.5779800415039","118.89960479736328","118.89960479736328","118.89960479736328","175.70912170410156","175.70912170410156","175.70912170410156"
"85","55.999183654785156","55.999183654785156","55.999183654785156","70.07228088378906","70.07228088378906","70.07228088378906","45.181602478027344","45.181602478027344","45.181602478027344","37.036460876464844","37.036460876464844","37.036460876464844","81.20275115966797","81.20275115966797","81.20275115966797","118.60749053955078","118.60749053955078","118.60749053955078","175.65890502929688","175.65890502929688","175.65890502929688"
"87","55.715858459472656","55.715858459472656","55.715858459472656","69.72383117675781","69.72383117675781","69.72383117675781","44.845420837402344","44.845420837402344","44.845420837402344","36.80924606323242","36.80924606323242","36.80924606323242","80.91890716552734","80.91890716552734","80.91890716552734","118.37850952148438","118.37850952148438","118.37850952148438","174.96665954589844","174.96665954589844","174.96665954589844"
"89","55.281837463378906","55.281837463378906","55.281837463378906","69.27888488769531","69.27888488769531","69.27888488769531","44.585243225097656","44.585243225097656","44.585243225097656","36.54871368408203","36.54871368408203","36.54871368408203","80.53380584716797","80.53380584716797","80.53380584716797","118.12887573242188","118.12887573242188","118.12887573242188","174.91929626464844","174.91929626464844","174.91929626464844"
"91","55.09126281738281","55.09126281738281","55.09126281738281","69.03282928466797","69.03282928466797","69.03282928466797","44.33169937133789","44.33169937133789","44.33169937133789","36.3982048034668","36.3982048034668","36.3982048034668","80.22615814208984","80.22615814208984","80.22615814208984","117.97946166992188","117.97946166992188","117.97946166992188","174.79354858398438","174.79354858398438","174.79354858398438"
"93","54.847084045410156","54.847084045410156","54.847084045410156","68.81761932373047","68.81761932373047","68.81761932373047","44.001712799072266","44.001712799072266","44.001712799072266","36.09373092651367","36.09373092651367","36.09373092651367","80.10407257080078","80.10407257080078","80.10407257080078","117.5779800415039","117.5779800415039","117.5779800415039","174.65750122070312","174.65750122070312","174.65750122070312"
"95","54.53736114501953","54.53736114501953","54.53736114501953","68.5948486328125","68.5948486328125","68.5948486328125","43.81209182739258","43.81209182739258","43.81209182739258","35.98798751831055","35.98798751831055","35.98798751831055","79.6944351196289","79.6944351196289","79.6944351196289","117.26618957519531","117.26618957519531","117.26618957519531","174.4216766357422","174.4216766357422","174.4216766357422"
"97","54.29609298706055","54.29609298706055","54.29609298706055","68.29393005371094","68.29393005371094","68.29393005371094","43.62265396118164","43.62265396118164","43.62265396118164","35.73862075805664","35.73862075805664","35.73862075805664","79.46018981933594","79.46018981933594","79.46018981933594","117.3943099975586","117.3943099975586","117.3943099975586","174.46951293945312","174.46951293945312","174.46951293945312"
"99","53.98451232910156","53.98451232910156","53.98451232910156","67.95780181884766","67.95780181884766","67.95780181884766","43.35806655883789","43.35806655883789","43.35806655883789","35.545223236083984","35.545223236083984","35.545223236083984","79.3624496459961","79.3624496459961","79.3624496459961","116.939453125","116.939453125","116.939453125","174.26979064941406","174.26979064941406","174.26979064941406"
