"Step","rank: 17 - loss/train","rank: 17 - loss/train__MIN","rank: 17 - loss/train__MAX","rank: 10 - loss/train","rank: 10 - loss/train__MIN","rank: 10 - loss/train__MAX","rank: 8 - loss/train","rank: 8 - loss/train__MIN","rank: 8 - loss/train__MAX","rank: 6 - loss/train","rank: 6 - loss/train__MIN","rank: 6 - loss/train__MAX","rank: 4 - loss/train","rank: 4 - loss/train__MIN","rank: 4 - loss/train__MAX"
"67","4.42125940322876","4.42125940322876","4.42125940322876","4.781255722045898","4.781255722045898","4.781255722045898","4.908618450164795","4.908618450164795","4.908618450164795","5.058503150939941","5.058503150939941","5.058503150939941","5.298768997192383","5.298768997192383","5.298768997192383"
"69","4.417336463928223","4.417336463928223","4.417336463928223","4.7776594161987305","4.7776594161987305","4.7776594161987305","4.906654357910156","4.906654357910156","4.906654357910156","5.056906700134277","5.056906700134277","5.056906700134277","5.2987470626831055","5.2987470626831055","5.2987470626831055"
"71","4.412476539611816","4.412476539611816","4.412476539611816","4.776815891265869","4.776815891265869","4.776815891265869","4.904658317565918","4.904658317565918","4.904658317565918","5.056047439575195","5.056047439575195","5.056047439575195","5.2969465255737305","5.2969465255737305","5.2969465255737305"
"73","4.408518314361572","4.408518314361572","4.408518314361572","4.773210525512695","4.773210525512695","4.773210525512695","4.901776313781738","4.901776313781738","4.901776313781738","5.0532755851745605","5.0532755851745605","5.0532755851745605","5.295538902282715","5.295538902282715","5.295538902282715"
"75","4.401559352874756","4.401559352874756","4.401559352874756","4.770147800445557","4.770147800445557","4.770147800445557","4.9004316329956055","4.9004316329956055","4.9004316329956055","5.0529937744140625","5.0529937744140625","5.0529937744140625","5.294743061065674","5.294743061065674","5.294743061065674"
"77","4.398072242736816","4.398072242736816","4.398072242736816","4.7678608894348145","4.7678608894348145","4.7678608894348145","4.898385047912598","4.898385047912598","4.898385047912598","5.051177978515625","5.051177978515625","5.051177978515625","5.293887138366699","5.293887138366699","5.293887138366699"
"79","4.392824172973633","4.392824172973633","4.392824172973633","4.764740467071533","4.764740467071533","4.764740467071533","4.89633321762085","4.89633321762085","4.89633321762085","5.0499467849731445","5.0499467849731445","5.0499467849731445","5.294384002685547","5.294384002685547","5.294384002685547"
"81","4.389372825622559","4.389372825622559","4.389372825622559","4.7642598152160645","4.7642598152160645","4.7642598152160645","4.894766807556152","4.894766807556152","4.894766807556152","5.048978328704834","5.048978328704834","5.048978328704834","5.292098045349121","5.292098045349121","5.292098045349121"
"83","4.385364055633545","4.385364055633545","4.385364055633545","4.761700630187988","4.761700630187988","4.761700630187988","4.893113136291504","4.893113136291504","4.893113136291504","5.045810699462891","5.045810699462891","5.045810699462891","5.292391777038574","5.292391777038574","5.292391777038574"
"85","4.381131649017334","4.381131649017334","4.381131649017334","4.759627819061279","4.759627819061279","4.759627819061279","4.892018795013428","4.892018795013428","4.892018795013428","5.0454864501953125","5.0454864501953125","5.0454864501953125","5.291657447814941","5.291657447814941","5.291657447814941"
"87","4.378143310546875","4.378143310546875","4.378143310546875","4.757435321807861","4.757435321807861","4.757435321807861","4.8895487785339355","4.8895487785339355","4.8895487785339355","5.044460773468018","5.044460773468018","5.044460773468018","5.289531707763672","5.289531707763672","5.289531707763672"
"89","4.372722148895264","4.372722148895264","4.372722148895264","4.755520820617676","4.755520820617676","4.755520820617676","4.889650344848633","4.889650344848633","4.889650344848633","5.044015884399414","5.044015884399414","5.044015884399414","5.288931369781494","5.288931369781494","5.288931369781494"
"91","4.369448661804199","4.369448661804199","4.369448661804199","4.753210544586182","4.753210544586182","4.753210544586182","4.887816429138184","4.887816429138184","4.887816429138184","5.042324066162109","5.042324066162109","5.042324066162109","5.287899494171143","5.287899494171143","5.287899494171143"
"93","4.367003917694092","4.367003917694092","4.367003917694092","4.750626564025879","4.750626564025879","4.750626564025879","4.885390758514404","4.885390758514404","4.885390758514404","5.041769027709961","5.041769027709961","5.041769027709961","5.286243915557861","5.286243915557861","5.286243915557861"
"95","4.36246395111084","4.36246395111084","4.36246395111084","4.7486371994018555","4.7486371994018555","4.7486371994018555","4.885378360748291","4.885378360748291","4.885378360748291","5.040782451629639","5.040782451629639","5.040782451629639","5.286599159240723","5.286599159240723","5.286599159240723"
"97","4.360021591186523","4.360021591186523","4.360021591186523","4.749980926513672","4.749980926513672","4.749980926513672","4.884915828704834","4.884915828704834","4.884915828704834","5.0393595695495605","5.0393595695495605","5.0393595695495605","5.285021781921387","5.285021781921387","5.285021781921387"
"99","4.35720682144165","4.35720682144165","4.35720682144165","4.745882511138916","4.745882511138916","4.745882511138916","4.883111476898193","4.883111476898193","4.883111476898193","5.038661956787109","5.038661956787109","5.038661956787109","5.284699440002441","5.284699440002441","5.284699440002441"
