"epoch","rank: 50 - _step","rank: 50 - _step__MIN","rank: 50 - _step__MAX","rank: 50 - perplexity_valid","rank: 50 - perplexity_valid__MIN","rank: 50 - perplexity_valid__MAX","rank: 40 - _step","rank: 40 - _step__MIN","rank: 40 - _step__MAX","rank: 40 - perplexity_valid","rank: 40 - perplexity_valid__MIN","rank: 40 - perplexity_valid__MAX","rank: 20 - _step","rank: 20 - _step__MIN","rank: 20 - _step__MAX","rank: 20 - perplexity_valid","rank: 20 - perplexity_valid__MIN","rank: 20 - perplexity_valid__MAX","rank: 10 - _step","rank: 10 - _step__MIN","rank: 10 - _step__MAX","rank: 10 - perplexity_valid","rank: 10 - perplexity_valid__MIN","rank: 10 - perplexity_valid__MAX","rank: 30 - _step","rank: 30 - _step__MIN","rank: 30 - _step__MAX","rank: 30 - perplexity_valid","rank: 30 - perplexity_valid__MIN","rank: 30 - perplexity_valid__MAX"
"38","76","76","76","125.50729370117188","125.50729370117188","125.50729370117188","76","76","76","125.14102935791016","125.14102935791016","125.14102935791016","76","76","76","130.47817993164062","130.47817993164062","130.47817993164062","76","76","76","153.66831970214844","153.66831970214844","153.66831970214844","76","76","76","125.49149322509766","125.49149322509766","125.49149322509766"
"39","78","78","78","125.56385803222656","125.56385803222656","125.56385803222656","78","78","78","124.84042358398438","124.84042358398438","124.84042358398438","78","78","78","130.2808074951172","130.2808074951172","130.2808074951172","78","78","78","153.33131408691406","153.33131408691406","153.33131408691406","78","78","78","126.26210021972656","126.26210021972656","126.26210021972656"
"40","80","80","80","125.17777252197266","125.17777252197266","125.17777252197266","80","80","80","125.36964416503906","125.36964416503906","125.36964416503906","80","80","80","130.21864318847656","130.21864318847656","130.21864318847656","80","80","80","152.79139709472656","152.79139709472656","152.79139709472656","80","80","80","126.13892364501953","126.13892364501953","126.13892364501953"
"41","82","82","82","125.31470489501953","125.31470489501953","125.31470489501953","82","82","82","125.30517578125","125.30517578125","125.30517578125","82","82","82","129.95945739746094","129.95945739746094","129.95945739746094","82","82","82","153.37779235839844","153.37779235839844","153.37779235839844","82","82","82","125.85183715820312","125.85183715820312","125.85183715820312"
"42","84","84","84","126.53462982177734","126.53462982177734","126.53462982177734","84","84","84","125.14360046386719","125.14360046386719","125.14360046386719","84","84","84","129.90286254882812","129.90286254882812","129.90286254882812","84","84","84","152.4980010986328","152.4980010986328","152.4980010986328","84","84","84","126.28231811523438","126.28231811523438","126.28231811523438"
"43","86","86","86","126.83903503417969","126.83903503417969","126.83903503417969","86","86","86","125.56060791015625","125.56060791015625","125.56060791015625","86","86","86","129.94393920898438","129.94393920898438","129.94393920898438","86","86","86","152.68675231933594","152.68675231933594","152.68675231933594","86","86","86","125.52774810791016","125.52774810791016","125.52774810791016"
"44","88","88","88","126.24571228027344","126.24571228027344","126.24571228027344","88","88","88","125.77027130126953","125.77027130126953","125.77027130126953","88","88","88","130.5198974609375","130.5198974609375","130.5198974609375","88","88","88","153.1929168701172","153.1929168701172","153.1929168701172","88","88","88","126.17479705810547","126.17479705810547","126.17479705810547"
"45","90","90","90","126.46358489990234","126.46358489990234","126.46358489990234","90","90","90","125.34938049316406","125.34938049316406","125.34938049316406","90","90","90","130.14503479003906","130.14503479003906","130.14503479003906","90","90","90","152.48809814453125","152.48809814453125","152.48809814453125","90","90","90","125.74503326416016","125.74503326416016","125.74503326416016"
"46","92","92","92","127.06696319580078","127.06696319580078","127.06696319580078","92","92","92","125.50251770019531","125.50251770019531","125.50251770019531","92","92","92","129.54290771484375","129.54290771484375","129.54290771484375","92","92","92","152.81529235839844","152.81529235839844","152.81529235839844","92","92","92","126.18647003173828","126.18647003173828","126.18647003173828"
"47","94","94","94","126.6729965209961","126.6729965209961","126.6729965209961","94","94","94","125.89678955078125","125.89678955078125","125.89678955078125","94","94","94","130.15838623046875","130.15838623046875","130.15838623046875","94","94","94","151.0968780517578","151.0968780517578","151.0968780517578","94","94","94","125.60060119628906","125.60060119628906","125.60060119628906"
"48","96","96","96","126.5288314819336","126.5288314819336","126.5288314819336","96","96","96","126.16756439208984","126.16756439208984","126.16756439208984","96","96","96","130.3876495361328","130.3876495361328","130.3876495361328","96","96","96","152.8122100830078","152.8122100830078","152.8122100830078","96","96","96","126.1335678100586","126.1335678100586","126.1335678100586"
"49","98","98","98","127.44424438476562","127.44424438476562","127.44424438476562","98","98","98","126.47787475585938","126.47787475585938","126.47787475585938","98","98","98","129.95982360839844","129.95982360839844","129.95982360839844","98","98","98","151.3349151611328","151.3349151611328","151.3349151611328","98","98","98","125.38494110107422","125.38494110107422","125.38494110107422"
